"Key"	"English"	"Japanese"	"French"	"Spanish"	"German"	"Italian"
"badge_capture_total"	"Captured {0} Pokémon."	"ポケモンを {0} 匹捕まえた！"	"{0} Pokémon attrapés."	"Pokémon capturados: {0}"	"{0} Pokémon gefangen."	"Pokémon catturati: {0}."
"badge_capture_total_title"	"Collector"	"コレクター"	"Collectionneur"	"Pokécolector"	"Sammler"	"Cercapokémon"
"badge_capture_total_value_format"	"N0"	"N0"	"N0"	"N0"	"N0"	"N0"
"badge_defeated_fort"	"Won {0} battles."	"{0} 回バトルした！"	"{0} combats gagnés."	"Combates ganados: {0}"	"{0} Kämpfe gewonnen."	"Lotte vinte: {0}."
"badge_defeated_fort_title"	"Battle"	"バトルした数"	"Combats"	"Combates"	"Kämpfer"	"Lottatore"
"badge_defeated_fort_value_format"	"N0"	"N0"	"N0"	"N0"	"N0"	"N0"
"badge_encountered_total"	"Encountered {0} Pokémon."	"ポケモンを {0} 匹見つけた！"	"{0} Pokémon rencontrés."	"Encuentros con Pokémon: {0}"	"{0} Pokémon begegnet."	"Pokémon incontrati: {0}."
"badge_encountered_total_title"	"Encounters"	"見つけた数"	"Rencontres"	"Encuentros"	"Entdecker"	"Incontri"
"badge_encountered_total_value_format"	"N0"	"N0"	"N0"	"N0"	"N0"	"N0"
"badge_evolved_total"	"Evolved {0} Pokémon."	"ポケモンを {0} 匹進化できた！"	"{0} Pokémon évolués."	"Pokémon evolucionados: {0}"	"{0} Pokémon entwickelt."	"Pokémon fatti evolvere: {0}."
"badge_evolved_total_title"	"Scientist"	"けんきゅういん"	"Scientifique"	"Científico"	"Forscher"	"Scienziato"
"badge_evolved_total_value_format"	"N0"	"N0"	"N0"	"N0"	"N0"	"N0"
"badge_hatched_total"	"Hatched {0} Eggs."	"タマゴを {0} 個かえした！"	"{0} œufs éclos."	"Huevos eclosionados: {0}"	"{0} Eier geschlüpft."	"Uova fatte schiudere: {0}."
"badge_hatched_total_title"	"Breeder"	"ブリーダー"	"Éleveur"	"Criapokémon"	"Züchter"	"Allevapokémon"
"badge_hatched_total_value_format"	"N0"	"N0"	"N0"	"N0"	"N0"	"N0"
"badge_pokedex_entries"	"Registered {0} Pokémon in the Pokédex."	"ポケモン図鑑に {0} 匹登録できた！"	"{0} Pokémon inscrits dans le Pokédex."	"Pokémon registrados en la Pokédex: {0}"	"{0} Pokémon im Pokédex eingetragen."	"Pokémon registrati nel Pokédex: {0}."
"badge_pokedex_entries_title"	"Kanto"	"カントー"	"Kanto"	"Kanto"	"Kanto"	"Kanto"
"badge_pokedex_entries_value_format"	"N0"	"N0"	"N0"	"N0"	"N0"	"N0"
"badge_pokestops_visited"	"Visited {0} PokéStops."	"ポケストップを {0} 回訪れた！"	"{0} PokéStops visités."	"Visitas a Poképaradas: {0}"	"{0} PokéStops besucht."	"Pokéstop visitati: {0}."
"badge_pokestops_visited_title"	"Backpacker"	"バックパッカー"	"Randonneur"	"Mochilero"	"Backpacker"	"Giramondo"
