"Key"	"English"	"Japanese"	"French"	"Spanish"	"German"	"Italian"
"item_great_ball_desc"	"A good, high-performance Poké Ball that provides a higher catch rate than a standard Poké Ball."	"モンスターボールよりもさらにポケモンを捕まえやすくなった少し性能のいいボール。"	"Une balle dont le taux de réussite est supérieur à celui de la Poké Ball."	"Poké Ball de alto rendimiento. Tiene un índice de éxito superior al de la Poké Ball."	"Ein Ball mit guter Erfolgsquote. Dem Pokéball in allen Punkten überlegen."	"Poké Ball dalle ottime prestazioni: fornisce maggiori probabilità di cattura rispetto alla normale Poké Ball."
"item_great_ball_name"	"Great Ball"	"スーパーボール"	"Super Ball"	"Super Ball"	"Superball"	"Mega Ball"
"item_hyper_potion_desc"	"A spray-type medicine for treating wounds. It restores the HP of one Pokémon by {1} points."	"スプレー式のキズぐすり。ポケモン1匹のHPを{1}だけ回復する。"	"Un spray qui soigne les blessures. Permet de restaurer {1} des PV d'un Pokémon."	"Medicina en espray que cura heridas y restaura {1} de los PS de un Pokémon."	"Hilft bei Wunden. Füllt {1} der KP eines Pokémon wieder auf."	"Rimedio spray per le ferite. Restituisce {1} dei PS a un Pokémon."
"item_hyper_potion_name"	"Hyper Potion"	"すごいキズぐすり"	"Hyper Potion"	"Hiperpoción"	"Hypertrank"	"Iperpozione"
"item_master_ball_desc"	"The best Poké Ball with the ultimate level of performance. With it, you will catch any wild Pokémon without fail."	"野生のポケモンを必ず捕まえることができる最高性能のボール。"	"La balle la plus performante. Elle permet de capturer à coup sûr un Pokémon sauvage."	"La Poké Ball definitiva. Atrapa cualquier Pokémon salvaje y no falla nunca."	"Der beste Ball! Damit fängst du garantiert jedes wilde Pokémon."	"La Poké Ball dalle prestazioni migliori: cattura qualsiasi Pokémon selvatico senza mai fallire."
"item_master_ball_name"	"Master Ball"	"マスターボール"	"Master Ball"	"Master Ball"	"Meisterball"	"Master Ball"
"item_max_potion_desc"	"A spray-type medicine for treating wounds. It will completely restore the max HP of a single Pokémon."	"スプレー式のキズぐすり。ポケモン1匹のHPをすべて回復する。"	"Un spray qui soigne les blessures. Restaure tous les PV d'un seul Pokémon."	"Medicina en espray que cura heridas y restaura todos los PS de un Pokémon."	"Hilft bei Wunden. Füllt die KP eines Pokémon wieder vollständig auf."	"Rimedio spray per le ferite. Restituisce tutti i PS a un Pokémon."
"item_max_potion_name"	"Max Potion"	"まんたんのくすり"	"Potion Max"	"Poción Máxima"	"Top-Trank"	"Pozione Max"
"item_revive_desc"	"A medicine that can revive fainted Pokémon. It also restores half of a fainted Pokémon's maximum HP."	"ひんしになってしまったポケモン1匹のHPを半分回復する。"	"Un médicament qui ranime un Pokémon KO. Restaure également la moitié de ses PV."	"Medicina que revive a un Pokémon debilitado y le devuelve la mitad de sus PS."	"Eine Medizin, die ein kampfunfähiges Pokémon wiederbelebt. Die Hälfte der maximalen KP wird wiederhergestellt. "	"Rimedio che rianima un Pokémon esausto e gli restituisce metà dei suoi PS."
"item_revive_name"	"Revive"	"げんきのかけら"	"Rappel"	"Revivir"	"Beleber"	"Revitalizzante"
"item_max_revive_desc"	"A medicine that can revive fainted Pokémon. It also fully restores a fainted Pokémon's maximum HP."	"ひんしになってしまったポケモン1匹のHPをすべて回復する。"	"Un médicament qui ranime un Pokémon KO. Restaure également tous ses PV."	"Medicina que revive a un Pokémon debilitado y le devuelve todos sus PS."	"Eine Medizin, die ein kampfunfähiges Pokémon wiederbelebt. Die KP werden vollständig wiederhergestellt."	"Rimedio che rianima un Pokémon esausto restituendogli tutti i PS."
"item_max_revive_name"	"Max Revive"	"げんきのかたまり"	"Rappel Max"	"Revivir Máximo"	"Top-Beleber"	"Revitalizzante Max"
"item_poke_ball_desc"	"A device for catching wild Pokémon. It's thrown like a ball at a Pokémon, comfortably encapsulating its target."	"野生のポケモンに投げて捕まえるためのボール。カプセル式になっている。"	"Un objet semblable à une capsule, qui capture les Pokémon sauvages. Se jette comme une balle."	"Dispositivo con diseño capsular que captura Pokémon salvajes. Se lanza como una bola contra el blanco."	"Damit fängst du wilde Pokémon. Du wirfst ihn wie einen normalen Ball. Das Design ähnelt dem einer Kapsel."	"Strumento dotato di capsula usato per catturare Pokémon selvatici. Si lancia contro il bersaglio come una palla."
"item_poke_ball_name"	"Poké Ball"	"モンスターボール"	"Poké Ball"	"Poké Ball"	"Pokéball"	"Poké Ball"
"item_potion_desc"	"A spray-type medicine for treating wounds. It restores the HP of one Pokémon by {1} points."	"スプレー式のキズぐすり。ポケモン1匹のHPを{1}だけ回復する。"	"Un spray qui soigne les blessures. Permet de restaurer {1} des PV d'un Pokémon."	"Medicina en espray que cura heridas y restaura {1} de los PS de un Pokémon."	"Hilft bei Wunden. Füllt {1} der KP eines Pokémon wieder auf."	"Rimedio spray per le ferite. Restituisce {1}% dei PS a un Pokémon."
"item_potion_name"	"Potion"	"キズぐすり"	"Potion"	"Poción"	"Trank"	"Pozione"
"item_razz_berry_desc"	"Feed this to a Pokémon to make it easier to catch."	"ポケモンに与えると捕まえやすくなるきのみ。"	"Si tu en donnes à manger à un Pokémon, il sera plus facile à attraper."	"Al usarla con un Pokémon, se captura con más facilidad en tu próximo lanzamiento."	"Wenn du sie einem Pokémon zum Essen gibst, lässt es sich leichter fangen."	"Dalla a un Pokémon e sarà più facile catturarlo."
"item_razz_berry_name"	"Razz Berry"	"ズリのみ"	"Baie Framby"	"Baya Frambu"	"Himmihbeere"	"Baccalampon"
"item_special_camera_name"	"Camera"	"カメラ"	"Appareil photo"	"Cámara"	"Kamera"	"Fotocamera"
"item_special_camera_desc"	"When you encounter Pokémon in the wild, you can use your camera to photograph them."	"野生のポケモンの姿を撮影できるカメラ。"	"Permet de prendre des photos des Pokémon que tu rencontres."	"Cuando te encuentras con Pokémon salvajes, puedes usar tu cámara para sacarles fotos."	"Wenn du einem wilden Pokémon begegnest, kannst du es mit deiner Kamera fotografieren."	"Quando incontri un Pokémon selvatico, puoi usare la tua fotocamera per scattargli una foto."
"item_super_potion_desc"	"A spray-type medicine for treating wounds.  It restores the HP of one Pokémon by {1} points."	"スプレー式のキズぐすり。ポケモン1匹のHPを{1}だけ回復する。"	"Un spray qui soigne les blessures. Permet de restaurer {1} des PV d'un Pokémon."	"Medicina en espray que cura heridas y restaura {1} de los PS de un Pokémon."	"Hilft bei Wunden. Füllt {1} der KP eines Pokémon wieder auf."	"Rimedio spray per le ferite. Restituisce {1} dei PS a un Pokémon."
"item_super_potion_name"	"Super Potion"	"いいキズぐすり"	"Super Potion"	"Superpoción"	"Supertrank"	"Superpozione"
"item_ultra_ball_desc"	"An ultra-high performance Poké Ball that provides a higher catch rate than a Great Ball."	"スーパーボールよりもさらにポケモンを捕まえやすくなったすごく性能のいいボール。"	"Une balle ultra-performante dont le taux de réussite est supérieur à celui de la Super Ball."	"Poké Ball de rendimiento superior. Tiene un índice de éxito mayor al de la Super Ball."	"Ein Ball mit hoher Erfolgsquote. Dem Superball in allen Punkten überlegen."	"Poké Ball dalle prestazioni eccellenti: fornisce maggiori probabilità di cattura rispetto alla Mega Ball."
"item_ultra_ball_name"	"Ultra Ball"	"ハイパーボール"	"Hyper Ball"	"Ultra Ball"	"Hyperball"	"Ultra Ball"
"item_x_attack_desc"	"UNDEFINED"	"未定義"	"UNDEFINED"	"SIN DEFINIR"	"Nicht definiert"	"UNDEFINED"
"item_x_attack_name"	"X Attack"	"プラスパワー"	"Attaque +"	"Ataque X"	"X-Angriff"	"Attacco X"
"item_x_defense_desc"	"UNDEFINED"	"不明"	"UNDEFINED"	"SIN DEFINIR"	"Nicht definiert"	"UNDEFINED"
"item_x_defense_name"	"X Defense"	"ディフェンダー"	"Défense +"	"Defensa X"	"X-Abwehr"	"Difesa X"
"item_x_miracle_desc"	"UNDEFINED"	"不明"	"UNDEFINED"	"SIN DEFINIR"	"Nicht definiert"	"UNDEFINED"
"item_x_miracle_name"	"UNDEFINED"	"不明"	"UNDEFINED"	"SIN DEFINIR"	"Nicht definiert"	"UNDEFINED"
"item_bluk_berry_desc"	"UNDEFINED"	"不明"	"UNDEFINED"	"SIN DEFINIR"	"Nicht definiert"	"UNDEFINED"
"item_bluk_berry_name"	"Bluk Berry"	"ブリーのみ"	"Baie Remu"	"Baya Oram"	"Morbbeere"	"Baccamora"
"item_wepar_berry_desc"	"UNDEFINED"	"不明"	"UNDEFINED"	"SIN DEFINIR"	"Nicht definiert"	"UNDEFINED"
"item_wepar_berry_name"	"Wepear Berry"	"セシナのみ"	"Baie Repoi"	"Baya Peragu"	"Nirbebeere"	"Baccapera"
"item_nanab_berry_desc"	"UNDEFINED"	"不明"	"UNDEFINED"	"SIN DEFINIR"	"Nicht definiert"	"UNDEFINED"
"item_nanab_berry_name"	"Nanab Berry"	"ナナのみ"	"Baie Nanab"	"Baya Latano"	"Nanabbeere"	"Baccabana"
"item_pinap_berry_desc"	"UNDEFINED"	"不明"	"UNDEFINED"	"SIN DEFINIR"	"Nicht definiert"	"UNDEFINED"
"item_pinap_berry_name"	"Pinap Berry"	"パイルのみ"	"Baie Nanana"	"Baya Pinia"	"Sananabeere"	"Baccananas"
"item_pokemon_bag_name"	"Pokémon Box Upgrade"	"ポケモンボックス"	"Agrandir la Boîte Pokémon"	"Mejora de almacenamiento de Pokémon"	"Pokémon-Box Plus"	"Ampliamento Box Pokémon"
"item_pokemon_bag_desc"	"Increases the size of your Pokémon collection."	"手持ちに加えられるポケモンの上限数が増えます。"	"Ceci augmente la taille de ta collection de Pokémon."	"Aumenta el tamaño de tu colección de Pokémon."	"Vergrößert deine Pokémon-Sammlung."	"Aumenta le dimensioni della tua collezione di Pokémon."
"item_item_pack_name"	"Item Pack"	"道具"	"Lot d’objets"	"Lote de objetos"	"Itempack"	"Astuccio strumenti"
"item_item_pack_desc"	"Increases the size of your Bag."	"持てる道具の上限数が増えます。"	"Augmente la taille de ton Sac."	"Aumenta el tamaño de tu Bolsa."	"Vergrößert deinen Beutel."	"Aumenta le dimensioni della tua Borsa."
"pokeball.20_title"	"20 Poké Balls"	"モンスター ボール x20"	"20 Poké Balls"	"20 Poké Balls"	"20 Pokébälle"	"Poké Ball x20"
"pokeball.20_description"	"20 standard Poké Balls to catch wild Pokémon!"	"野生のポケモンを捕まえるために必要なモンスターボール20個入り。"	"20 Poké Balls standard pour attraper des Pokémon sauvages."	"¡20 Poké Balls con las que capturar Pokémon salvajes!"	"20 reguläre Pokébälle zum Fangen wilder Pokémon!"	"20 Poké Ball normali da usare per catturare Pokémon!"
"pokeball.100_title"	"100 Poké Balls"	"モンスター ボール x100"	"100 Poké Balls"	"100 Poké Balls"	"100 Pokébälle"	"Poké Ball x100"
