Key	English	Japanese	Comment
move_desc_0001	A jolt of electricity crashes down on the target to inflict damage.	電気の刺激を相手に浴びせて攻撃する。まひ状態にすることがある。	
move_desc_0002	The user lunges at the target at a speed that makes it almost invisible.	目にも留まらぬものすごい速さで相手につっこむ。必ず先制攻撃できる。	
move_desc_0003	Hard, pointed, sharp claws rake the target to inflict damage.	硬くとがった鋭いツメで相手をひっかいて攻撃する。	
move_desc_0004	The target is attacked with small flames.	小さな炎を相手に発射して攻撃する。やけど状態にすることがある。	
move_desc_0005	The target is struck with slender, whiplike vines to inflict damage.	ムチのようにしなる細長いつるで相手をたたきつけて攻撃する。	
move_desc_0006	A physical attack in which the user charges and slams into the target with its whole body.	相手にむかって全身でぶつかっていき攻撃する。	
move_desc_0007	Sharp-edged leaves are launched to slash at the opposing Pokémon. Critical hits land more easily.	はっぱをとばして相手を切りつけて攻撃する。急所に当たりやすい。	
move_desc_0008	A reckless, full-body charge attack for slamming into the target.	すごい勢いで相手にぶつかって攻撃する。自分も少しダメージを受ける。	
move_desc_0009	The target is blasted with a forceful shot of water.	水を勢いよく相手に発射して攻撃する。	
move_desc_0010	The target is bitten with viciously sharp fangs.	鋭くとがった歯でかみついて攻撃する。相手をひるませることがある。	
move_desc_0011	The target is physically pounded with a long tail, a foreleg, or the like.	長いしっぽや手などを使って相手をはたいて攻撃する。	
move_desc_0012	The target is slapped repeatedly, back and forth.	おうふくビンタで相手をたたいて攻撃する。２ー５回のあいだ連続でだす。	
move_desc_0013	A long body or vines are used to wrap and squeeze the target	長い体やつるなどをつかって４ー５ターンのあいだ相手にまきついて攻撃する。	
move_desc_0014	The target is attacked with a powerful beam.	強い光線を相手に発射して攻撃する。次のターンは動けなくなる。	
move_desc_0015	The target is licked with a long tongue, causing damage.	長い舌で相手をなめまわして攻撃する。まひ状態にすることがある。	
move_desc_0016	The user releases a horrible aura imbued with dark thoughts.	体から悪意にみちた恐ろしいオーラを発する。相手をひるませることがある。	
move_desc_0017	The target is attacked with a discharge of filthy gases	汚れたガスを相手に吹きつけて攻撃する。毒状態にすることがある。	
move_desc_0018	Unsanitary sludge is hurled at the target.	汚いヘドロを相手に投げつけて攻撃する。毒状態にすることがある。	
move_desc_0019	The target is raked with steel claws.	鋼鉄のツメで相手を切り裂いて攻撃する。自分の攻撃があがることがある。	
move_desc_0020	The target is gripped and squeezed from both sides to inflict damage.	相手を両側からはさんでダメージをあたえる。	
move_desc_0021	The user cloaks itself in fire and charges at the target.	炎をまとい相手に突進して攻撃する。やけど状態にすることがある。	
