Key	English	Japanese	Comment
pokemon_name_0000	None	None	
pokemon_name_0001	Bulbasaur	フシギダネ	
pokemon_name_0002	Ivysaur	フシギソウ	
pokemon_name_0003	Venusaur	フシギバナ	
pokemon_name_0004	Charmander	ヒトカゲ	
pokemon_name_0005	Charmeleon	リザード	
pokemon_name_0006	Charizard	リザードン	
pokemon_name_0007	Squirtle	ゼニガメ	
pokemon_name_0008	Wartortle	カメール	
pokemon_name_0009	Blastoise	カメックス	
pokemon_name_0010	Caterpie	キャタピー	
pokemon_name_0011	Metapod	トランセル	
pokemon_name_0012	Butterfree	バタフリー	
pokemon_name_0013	Weedle	ビードル	
pokemon_name_0014	Kakuna	コクーン	
pokemon_name_0015	Beedrill	スピアー	
pokemon_name_0016	Pidgey	ポッポ	
pokemon_name_0017	Pidgeotto	ピジョン	
pokemon_name_0018	Pidgeot	ピジョット	
pokemon_name_0019	Rattata	コラッタ	
pokemon_name_0020	Raticate	ラッタ	
pokemon_name_0021	Spearow	オニスズメ	
pokemon_name_0022	Fearow	オニドリル	
pokemon_name_0023	Ekans	アーボ	
pokemon_name_0024	Arbok	アーボック	
pokemon_name_0025	Pikachu	ピカチュウ	
pokemon_name_0026	Raichu	ライチュウ	
pokemon_name_0027	Sandshrew	サンド	
pokemon_name_0028	Sandslash	サンドパン	
pokemon_name_0029	Nidoran♀	ニドラン♀	
pokemon_name_0030	Nidorina	ニドリーナ	
pokemon_name_0031	Nidoqueen	ニドクイン	
pokemon_name_0032	Nidoran♂	ニドラン♂	
pokemon_name_0033	Nidorino	ニドリーノ	
pokemon_name_0034	Nidoking	ニドキング	
pokemon_name_0035	Clefairy	ピッピ	
pokemon_name_0036	Clefable	ピクシー	
pokemon_name_0037	Vulpix	ロコン	
pokemon_name_0038	Ninetales	キュウコン	
pokemon_name_0039	Jigglypuff	プリン	
pokemon_name_0040	Wigglytuff	プクリン	
pokemon_name_0041	Zubat	ズバット	
pokemon_name_0042	Golbat	ゴルバット	
pokemon_name_0043	Oddish	ナゾノクサ	
pokemon_name_0044	Gloom	クサイハナ	
pokemon_name_0045	Vileplume	ラフレシア	
pokemon_name_0046	Paras	パラス	
pokemon_name_0047	Parasect	パラセクト	
pokemon_name_0048	Venonat	コンパン	
pokemon_name_0049	Venomoth	モルフォン	
pokemon_name_0050	Diglett	ディグダ	
pokemon_name_0051	Dugtrio	ダグトリオ	
pokemon_name_0052	Meowth	ニャース	
pokemon_name_0053	Persian	ペルシアン	
pokemon_name_0054	Psyduck	コダック	
pokemon_name_0055	Golduck	ゴルダック	
pokemon_name_0056	Mankey	マンキー	
pokemon_name_0057	Primeape	オコリザル	
pokemon_name_0058	Growlithe	ガーディ	
